iter	Logloss
0	0.6131572555
1	0.5451610073
2	0.4878617667
3	0.4373474582
4	0.3943333437
5	0.357677851
6	0.3268023915
7	0.3010008764
8	0.2786822796
9	0.2596403652
10	0.2429852404
11	0.2283404142
12	0.2158872522
13	0.2054736608
14	0.1964301379
15	0.1884349674
16	0.1813002858
17	0.1751994325
18	0.1698064209
19	0.1653777806
20	0.1612970446
21	0.1578499883
22	0.1546306507
23	0.1519045763
24	0.1494704057
25	0.1470980742
26	0.1454800165
27	0.1437116313
28	0.1422076043
29	0.1409262219
30	0.1396997065
31	0.1386140161
32	0.137667332
33	0.1370221992
34	0.1361810185
35	0.1354478322
36	0.1347989828
37	0.1342353005
38	0.133675928
39	0.1331749152
40	0.1326980607
41	0.1323157047
42	0.1318984883
43	0.1316586311
44	0.1313083939
45	0.130955824
46	0.130731163
47	0.1305293291
48	0.1303872784
49	0.1301450884
50	0.1299130863
51	0.1298506541
52	0.1296760758
53	0.129510618
54	0.1293085733
55	0.129144183
56	0.1290406038
57	0.1288907639
58	0.1287522321
59	0.1286340893
60	0.1286000067
61	0.1284311484
62	0.1282971373
63	0.1281895647
64	0.1280880942
65	0.1279544917
66	0.1278761384
67	0.1277573367
68	0.1276557344
69	0.127572017
70	0.1274682401
71	0.1273789213
72	0.1273051019
73	0.1272438954
74	0.1271532586
75	0.127022727
76	0.1269231544
77	0.1268280234
78	0.1267423026
79	0.1266628291
80	0.1265875994
81	0.1264865902
82	0.1263988135
83	0.1263506022
84	0.1262813297
85	0.1262190688
86	0.126146765
87	0.1260535055
88	0.1259976105
89	0.1259494123
90	0.1258784001
91	0.1257693777
92	0.1256743258
93	0.1256139101
94	0.1255387858
95	0.1254523007
96	0.1253707711
97	0.1252960159
98	0.1252227104
99	0.1251904729
100	0.1251157441
101	0.1250505046
102	0.1249576932
103	0.1248982528
104	0.1248149703
105	0.1247537902
106	0.124668768
107	0.1246054264
108	0.1245150137
109	0.1244725223
110	0.1243689827
111	0.1242845272
112	0.1242075314
113	0.1241511751
114	0.1240907857
115	0.1240293684
116	0.1239774667
117	0.1239240231
118	0.1238491229
119	0.1238277454
120	0.1237933069
121	0.1237353162
122	0.1236665841
123	0.1236091734
124	0.1235362106
125	0.1234725791
126	0.1234181601
127	0.1233353389
128	0.1232873912
129	0.1232503958
130	0.1231892552
131	0.1230778341
132	0.1229982024
133	0.1229377735
134	0.1229270716
135	0.1228671304
136	0.1228015746
137	0.1227388524
138	0.1227150631
139	0.1226717546
140	0.1226228448
141	0.1225518721
142	0.122501183
143	0.1224357195
144	0.122384345
145	0.1223144795
146	0.1222506107
147	0.1222096482
148	0.1221405471
149	0.1220996769
150	0.1220966192
151	0.1220081834
152	0.1219729805
153	0.1219273128
154	0.1218777572
155	0.1218296118
156	0.1217850776
157	0.121757308
158	0.1216932415
159	0.1216315342
160	0.1215927727
161	0.1215175826
162	0.1214523431
163	0.1213820953
164	0.1213086844
165	0.1212627005
166	0.121224084
167	0.1211592004
168	0.1210923002
169	0.1210588106
170	0.1210039172
171	0.1209089312
172	0.1208687726
173	0.1207979582
174	0.1207525146
175	0.1206938518
176	0.1206483159
177	0.1205954654
178	0.120532216
179	0.1204866275
180	0.1203842871
181	0.1203150147
182	0.1202386779
183	0.120194895
184	0.1201260706
185	0.1201260047
186	0.120088034
187	0.1200124089
188	0.1199492914
189	0.1198791886
190	0.1198085982
191	0.1197432401
192	0.1196628308
193	0.1196210775
194	0.1195442267
195	0.1195078112
196	0.1194605225
197	0.1194003177
198	0.119338808
199	0.1192750842
200	0.1191862795
201	0.1191480188
202	0.1190921501
203	0.1190670164
204	0.1190084722
205	0.1189744554
206	0.1188864283
207	0.1187917322
208	0.1186864528
209	0.1185952098
210	0.1185318023
211	0.1184790835
212	0.118442813
213	0.118369982
214	0.1183139947
215	0.1182664292
216	0.1182007416
217	0.1181734201
218	0.1180835478
219	0.1180234615
220	0.1179695434
221	0.1179272761
222	0.1178161845
223	0.1177726256
224	0.1177129743
225	0.1176772706
226	0.117641514
227	0.117619359
228	0.1175279051
229	0.1174865077
230	0.1174420526
231	0.1173189147
232	0.1172255234
233	0.1171514667
234	0.1171187943
235	0.1170253634
236	0.1169959463
237	0.1169135733
238	0.1168831414
239	0.116824294
240	0.1167376903
241	0.1166898084
242	0.1166707243
243	0.1166302362
244	0.116570954
245	0.116486459
246	0.1164366925
247	0.1164141684
248	0.1163825635
249	0.116307202
250	0.1162444139
251	0.1161494411
252	0.1161009134
253	0.1160365438
254	0.1160044776
255	0.1159660588
256	0.1159055377
257	0.115832364
258	0.115800311
259	0.1157312889
260	0.1156994073
261	0.1156233604
262	0.1155887901
263	0.1155220613
264	0.1154633063
265	0.1154200769
266	0.1153798393
267	0.1153115553
268	0.1152526421
269	0.1152079497
270	0.1151800088
271	0.11515274
272	0.115091494
273	0.1150324621
274	0.1150039149
275	0.1149345502
276	0.1148976602
277	0.1148526911
278	0.114789534
279	0.1147635437
280	0.1147317015
281	0.1146795099
282	0.1146557733
283	0.1146079706
284	0.1145604446
285	0.1144348948
286	0.1143723045
287	0.1143387095
288	0.1142440793
289	0.1141818184
290	0.1141452843
291	0.1141027402
292	0.1140246901
293	0.1139857968
294	0.1139500667
295	0.113883641
296	0.1138118644
297	0.1137422756
298	0.1137033428
299	0.1136646473
300	0.1136431644
301	0.1135741818
302	0.1135256542
303	0.1134999275
304	0.1134696932
305	0.1134318412
306	0.1133708456
307	0.1132609796
308	0.1132266597
309	0.1131687613
310	0.1131346655
311	0.1130731295
312	0.1130381901
313	0.1129877514
314	0.1129408713
315	0.1128871904
316	0.1128336676
317	0.1127775353
318	0.1127118082
319	0.1126634387
320	0.112627669
321	0.1125871547
322	0.1125547853
323	0.1124939479
324	0.1124313575
325	0.1123922929
326	0.112323864
327	0.1122719491
328	0.1122420444
