iter	Logloss
329	0.1122093324
330	0.1121761064
331	0.1121505905
332	0.1121182607
333	0.1120862473
334	0.1120563294
335	0.1119977325
336	0.1119328752
337	0.1119021533
338	0.1118612172
339	0.1117989695
340	0.1117506264
341	0.1116892881
342	0.1116250503
343	0.1115721075
344	0.1114971677
345	0.1114669072
346	0.1114391244
347	0.1113820168
348	0.1113329488
349	0.1112971
350	0.1112559925
351	0.1112066082
352	0.1111546539
353	0.1110933683
354	0.1110371965
355	0.1110188767
356	0.110983621
357	0.1109303092
358	0.1108595869
359	0.11080385
360	0.1107480604
361	0.1107187224
362	0.1106872229
363	0.1106500825
364	0.1106129158
365	0.1105503782
366	0.1105062526
367	0.1104581599
368	0.1103866468
369	0.1103583303
370	0.1103298753
371	0.1103010909
372	0.1102463754
373	0.110205459
374	0.1101260909
375	0.1100609766
376	0.1100327062
377	0.1099912824
378	0.1099592096
379	0.1098813572
380	0.1098536403
381	0.1098095542
382	0.1097772772
383	0.1097427859
384	0.1097047889
385	0.1096713717
386	0.1096289463
387	0.1095593048
388	0.1095257757
389	0.1094748625
390	0.109410539
391	0.1093563837
392	0.1092835
393	0.1092808772
394	0.1092405474
395	0.1092089359
396	0.109169924
397	0.1091682897
398	0.1091226946
399	0.109085798
400	0.1090477614
401	0.1090099621
402	0.1089749502
403	0.1089392201
404	0.1089077206
405	0.1088830877
406	0.1088179801
407	0.1087786189
408	0.1087117649
409	0.1086873825
410	0.1086016815
411	0.1085792102
412	0.1085563829
413	0.1085356249
414	0.1085164353
415	0.1084795585
416	0.1083749249
417	0.1083189705
418	0.1083012307
419	0.1082801102
420	0.1082346666
421	0.1081579674
422	0.1081000624
423	0.1080482597
424	0.1080025854
425	0.107909293
426	0.1078792762
427	0.1078588675
428	0.1078159412
429	0.1077372387
430	0.107707156
431	0.107644335
432	0.1076187269
433	0.1075841961
434	0.1075676819
435	0.1075089796
436	0.1074741061
437	0.1074062307
438	0.1073873178
439	0.1073608267
440	0.1073072578
441	0.1072758242
442	0.1072489179
443	0.1072036325
444	0.1071441921
445	0.1071158491
446	0.1070888505
447	0.1070204479
448	0.1069929551
449	0.1069564078
450	0.1069143778
451	0.1068725586
452	0.1068552537
453	0.1068156487
454	0.1067813024
455	0.1067492626
456	0.1067214666
457	0.1066575978
458	0.1066107704
459	0.1065339064
460	0.1064673226
461	0.106423678
462	0.1063952033
463	0.1063675589
464	0.1063254037
465	0.1062952551
466	0.106255492
467	0.1061845918
468	0.1061582852
469	0.1061328286
470	0.1061019881
471	0.1060686764
472	0.1060391341
473	0.1060131899
474	0.1059705536
475	0.1059494266
476	0.1059190474
477	0.1058792183
478	0.105857116
479	0.1058205358
480	0.1057968716
481	0.1057543276
482	0.1057190917
483	0.1056886598
484	0.1056465572
485	0.1055874529
486	0.1055551165
487	0.1055215017
488	0.1055007503
489	0.1054530398
490	0.1053964923
491	0.105370614
492	0.1053229826
493	0.1052819674
494	0.1052505997
495	0.1051961017
496	0.1051682069
497	0.1051155804
498	0.1050783675
499	0.1050660972
